panel,user_q_percent,item_q_percent,ndcg_at_20
ALL,0.01,0.01,0.23129
ALL,0.01,0.1,0.1167
ALL,0.01,1.0,0.21051
ALL,0.01,10.0,0.20404
ALL,0.01,100.0,0.17888
ALL,0.1,0.01,0.21396
ALL,0.1,0.1,0.11856
ALL,0.1,1.0,0.19265
ALL,0.1,10.0,0.18938
ALL,0.1,100.0,0.16834
ALL,1.0,0.01,0.21097
ALL,1.0,0.1,0.11613
ALL,1.0,1.0,0.18096
ALL,1.0,10.0,0.18545
ALL,1.0,100.0,0.1659
ALL,10.0,0.01,0.14957
ALL,10.0,0.1,0.09698
ALL,10.0,1.0,0.12151
ALL,10.0,10.0,0.14157
ALL,10.0,100.0,0.13577
ALL,100.0,0.01,0.14957
ALL,100.0,0.1,0.09698
ALL,100.0,1.0,0.12151
ALL,100.0,10.0,0.14157
ALL,100.0,100.0,0.13577
UU,0.01,0.01,0.06565
UU,0.01,0.1,0.18965
UU,0.01,1.0,0.20821
UU,0.01,10.0,0.20821
UU,0.01,100.0,0.20821
UU,0.1,0.01,0.06992
UU,0.1,0.1,0.18862
UU,0.1,1.0,0.20537
UU,0.1,10.0,0.20537
UU,0.1,100.0,0.20537
UU,1.0,0.01,0.0957
UU,1.0,0.1,0.16446
UU,1.0,1.0,0.16643
UU,1.0,10.0,0.16643
UU,1.0,100.0,0.16643
UU,10.0,0.01,0.15173
UU,10.0,0.1,0.11221
UU,10.0,1.0,0.12201
UU,10.0,10.0,0.12201
UU,10.0,100.0,0.12201
UU,100.0,0.01,0.15173
UU,100.0,0.1,0.11221
UU,100.0,1.0,0.12201
UU,100.0,10.0,0.12201
UU,100.0,100.0,0.12201
II,0.01,0.01,0.22775
II,0.01,0.1,0.10102
II,0.01,1.0,0.18767
II,0.01,10.0,0.20322
II,0.01,100.0,0.17295
II,0.1,0.01,0.20857
II,0.1,0.1,0.09975
II,0.1,1.0,0.17876
II,0.1,10.0,0.18984
II,0.1,100.0,0.16461
II,1.0,0.01,0.20371
II,1.0,0.1,0.09966
II,1.0,1.0,0.17286
II,1.0,10.0,0.18664
II,1.0,100.0,0.16296
II,10.0,0.01,0.2036
II,10.0,0.1,0.09962
II,10.0,1.0,0.17264
II,10.0,10.0,0.1866
II,10.0,100.0,0.16293
II,100.0,0.01,0.2036
II,100.0,0.1,0.09962
II,100.0,1.0,0.17264
II,100.0,10.0,0.1866
II,100.0,100.0,0.16293
UI,0.01,0.01,0.23661
UI,0.01,0.1,0.09117
UI,0.01,1.0,0.1801
UI,0.01,10.0,0.2218
UI,0.01,100.0,0.18993
UI,0.1,0.01,0.23046
UI,0.1,0.1,0.09163
UI,0.1,1.0,0.17887
UI,0.1,10.0,0.22023
UI,0.1,100.0,0.18901
UI,1.0,0.01,0.20945
UI,1.0,0.1,0.09294
UI,1.0,1.0,0.16771
UI,1.0,10.0,0.18931
UI,1.0,100.0,0.16452
UI,10.0,0.01,0.14816
UI,10.0,0.1,0.08603
UI,10.0,1.0,0.11422
UI,10.0,10.0,0.14393
UI,10.0,100.0,0.13421
UI,100.0,0.01,0.14816
UI,100.0,0.1,0.08603
UI,100.0,1.0,0.11422
UI,100.0,10.0,0.14393
UI,100.0,100.0,0.13421
IU,0.01,0.01,0.05602
IU,0.01,0.1,0.18633
IU,0.01,1.0,0.18145
IU,0.01,10.0,0.18145
IU,0.01,100.0,0.18145
IU,0.1,0.01,0.14793
IU,0.1,0.1,0.16504
IU,0.1,1.0,0.16637
IU,0.1,10.0,0.16637
IU,0.1,100.0,0.16637
IU,1.0,0.01,0.15113
IU,1.0,0.1,0.16048
IU,1.0,1.0,0.16164
IU,1.0,10.0,0.16164
IU,1.0,100.0,0.16164
IU,10.0,0.01,0.15141
IU,10.0,0.1,0.16042
IU,10.0,1.0,0.16165
IU,10.0,10.0,0.16165
IU,10.0,100.0,0.16165
IU,100.0,0.01,0.15141
IU,100.0,0.1,0.16042
IU,100.0,1.0,0.16165
IU,100.0,10.0,0.16165
IU,100.0,100.0,0.16165
