panel,user_q_percent,item_q_percent,ndcg_at_20
ALL,0.01,0.01,0.20637
ALL,0.01,0.1,0.19221
ALL,0.01,1.0,0.19549
ALL,0.01,10.0,0.20473
ALL,0.01,100.0,0.16913
ALL,0.1,0.01,0.22257
ALL,0.1,0.1,0.19604
ALL,0.1,1.0,0.19175
ALL,0.1,10.0,0.1957
ALL,0.1,100.0,0.16905
ALL,1.0,0.01,0.2349
ALL,1.0,0.1,0.19358
ALL,1.0,1.0,0.18363
ALL,1.0,10.0,0.18482
ALL,1.0,100.0,0.16718
ALL,10.0,0.01,0.20361
ALL,10.0,0.1,0.17543
ALL,10.0,1.0,0.17402
ALL,10.0,10.0,0.17386
ALL,10.0,100.0,0.16547
ALL,100.0,0.01,0.16757
ALL,100.0,0.1,0.1611
ALL,100.0,1.0,0.16326
ALL,100.0,10.0,0.1651
ALL,100.0,100.0,0.16393
UU,0.01,0.01,0.00223
UU,0.01,0.1,0.20203
UU,0.01,1.0,0.19671
UU,0.01,10.0,0.1966
UU,0.01,100.0,0.19662
UU,0.1,0.01,0.00223
UU,0.1,0.1,0.20198
UU,0.1,1.0,0.19652
UU,0.1,10.0,0.19645
UU,0.1,100.0,0.19648
UU,1.0,0.01,0.00223
UU,1.0,0.1,0.18659
UU,1.0,1.0,0.18486
UU,1.0,10.0,0.18415
UU,1.0,100.0,0.18422
UU,10.0,0.01,0.00223
UU,10.0,0.1,0.16871
UU,10.0,1.0,0.17529
UU,10.0,10.0,0.17306
UU,10.0,100.0,0.17307
UU,100.0,0.01,0.00223
UU,100.0,0.1,0.15828
UU,100.0,1.0,0.16463
UU,100.0,10.0,0.16263
UU,100.0,100.0,0.16269
II,0.01,0.01,0.00223
II,0.01,0.1,0.00223
II,0.01,1.0,0.00223
II,0.01,10.0,0.00223
II,0.01,100.0,0.00223
II,0.1,0.01,0.22525
II,0.1,0.1,0.17839
II,0.1,1.0,0.00341
II,0.1,10.0,0.19291
II,0.1,100.0,0.16372
II,1.0,0.01,0.21936
II,1.0,0.1,0.16987
II,1.0,1.0,0.00088
II,1.0,10.0,0.17645
II,1.0,100.0,0.16368
II,10.0,0.01,0.19113
II,10.0,0.1,0.14541
II,10.0,1.0,0.00036
II,10.0,10.0,0.16158
II,10.0,100.0,0.16367
II,100.0,0.01,0.18712
II,100.0,0.1,0.14045
II,100.0,1.0,0.00032
II,100.0,10.0,0.15964
II,100.0,100.0,0.16363
UI,0.01,0.01,0.20637
UI,0.01,0.1,0.0977
UI,0.01,1.0,0.00564
UI,0.01,10.0,0.21131
UI,0.01,100.0,0.16374
UI,0.1,0.01,0.206
UI,0.1,0.1,0.0976
UI,0.1,1.0,0.00581
UI,0.1,10.0,0.21114
UI,0.1,100.0,0.16372
UI,1.0,0.01,0.23351
UI,1.0,0.1,0.15073
UI,1.0,1.0,0.00225
UI,1.0,10.0,0.18395
UI,1.0,100.0,0.16369
UI,10.0,0.01,0.20506
UI,10.0,0.1,0.14474
UI,10.0,1.0,0.0004
UI,10.0,10.0,0.16321
UI,10.0,100.0,0.16373
UI,100.0,0.01,0.167
UI,100.0,0.1,0.14633
UI,100.0,1.0,0.00028
UI,100.0,10.0,0.15658
UI,100.0,100.0,0.16344
IU,0.01,0.01,0.00223
IU,0.01,0.1,0.00223
IU,0.01,1.0,0.00223
IU,0.01,10.0,0.00223
IU,0.01,100.0,0.00223
IU,0.1,0.01,0.00223
IU,0.1,0.1,0.18922
IU,0.1,1.0,0.18763
IU,0.1,10.0,0.19062
IU,0.1,100.0,0.19062
IU,1.0,0.01,0.00223
IU,1.0,0.1,0.17715
IU,1.0,1.0,0.18008
IU,1.0,10.0,0.18073
IU,1.0,100.0,0.18083
IU,10.0,0.01,0.00223
IU,10.0,0.1,0.16562
IU,10.0,1.0,0.17263
IU,10.0,10.0,0.17015
IU,10.0,100.0,0.17031
IU,100.0,0.01,0.00223
IU,100.0,0.1,0.16445
IU,100.0,1.0,0.17167
IU,100.0,10.0,0.16874
IU,100.0,100.0,0.16869
